date,track,venue,state
2023-05-14,Casterton,Casterton,VIC
2023-05-14,Sunshine Coast,Sunshine Coast,QLD
2023-05-15,Moe,Moe,VIC
2023-05-16,Stawell,Stawell,VIC
2023-05-17,Bendigo,Bendigo,VIC
2023-05-17,Gawler,Gawler,SA
2023-05-17,Ipswich,Ipswich,QLD
2023-05-18,Kyneton,Kyneton,VIC
2023-05-18,Pakenham,Pakenham,VIC
2023-05-18,Rockhampton,Rockhampton,QLD
2023-05-19,Cranbourne,Cranbourne,VIC
2023-05-19,Geelong,Geelong,VIC
2023-05-19,Port Augusta,Port Augusta,SA
2023-05-19,Townsville,Townsville,QLD
2023-05-20,Doomben,Doomben,QLD
2023-05-20,Emerald,Emerald,QLD
2023-05-20,Flemington,Flemington,VIC
2023-05-20,Gold Coast Poly,Gold Coast,QLD
2023-05-20,Home Hill,Home Hill,QLD
2023-05-20,Mareeba,Mareeba,QLD
2023-05-20,Morphettville,Morphettville,SA
2023-05-20,Mt Isa,Mt Isa,QLD
2023-05-20,Nanango,Nanango,QLD
2023-05-20,Toowoomba,Toowoomba,QLD
2023-05-20,Warracknabeal,Warracknabeal,VIC
2023-05-21,Sandown-Lakeside,Sandown,VIC
2023-05-21,Seymour,Seymour,VIC
2023-05-21,Strathalbyn,Strathalbyn,SA
2023-05-21,Sunshine Coast,Sunshine Coast,QLD
2023-05-22,Ballarat Synthetic,Ballarat,VIC
2023-05-23,Chinchilla,Chinchilla,QLD
2023-05-23,Mornington,Mornington,VIC
2023-05-24,Balaklava,Balaklava,SA
2023-05-24,Doomben,Doomben,QLD
2023-05-24,Sale,Sale,VIC
2023-05-25,Gatton,Gatton,QLD
2023-05-25,Kilmore,Kilmore,VIC
2023-05-25,Pakenham,Pakenham,VIC
2023-05-26,Ballarat Synthetic,Ballarat,VIC
2023-05-26,Cranbourne,Cranbourne,VIC
2023-05-26,Rockhampton,Rockhampton,QLD
2023-05-26,Sunshine Coast,Sunshine Coast,QLD
2023-05-27,Cloncurry,Cloncurry,QLD
2023-05-27,Eagle Farm,Eagle Farm,QLD
2023-05-27,Gladstone,Gladstone,QLD
